,count,mean,std,min,25%,50%,75%,max
answer_relevancy,255.0,0.9635294117647059,0.11923937224579861,0.0,1.0,1.0,1.0,1.0
bert_f1,255.0,0.8561806222971748,0.02722660278471853,0.7233883142471313,0.8414194583892822,0.8594057559967041,0.8712626695632935,0.9388605952262878
bert_precision,255.0,0.8674353349442575,0.030197018803210133,0.6989643573760986,0.8502106070518494,0.8686293363571167,0.8863417506217957,0.9547107815742493
bert_recall,255.0,0.8458098477008296,0.032018216680670765,0.6173889636993408,0.8280362188816071,0.8475402593612671,0.8632804453372955,0.9475409388542175
bleu1,255.0,0.221537921817593,0.10611589324012127,0.0,0.15529887666168518,0.20801838130006087,0.28806756304749925,0.7272727272727273
bleu2,255.0,0.1133989563677376,0.09739524887965768,0.0,0.04551430437034039,0.09720296669323474,0.16311685302394735,0.6605782590758164
bleu3,255.0,0.06837349769642026,0.08727801647026467,0.0,3.826382716135086e-103,0.04909846440413972,0.11550827385500559,0.5820091216337574
bleu4,255.0,0.040344112847208256,0.07387268353654369,0.0,2.7525651566260287e-155,1.1700547838642603e-78,0.07514588461381747,0.46924700641056
contextual_relevancy,255.0,0.8161696776181824,0.1946458579344933,0.2222222222222222,0.7142857142857143,0.85,1.0,1.0
factual_correctness,255.0,0.7077240745067187,0.1961930997608374,0.08986671813244884,0.6299902137310767,0.7626226218469947,0.8470431681447477,1.0
faithfulness,255.0,0.869673202614379,0.2679384493554956,0.0,1.0,1.0,1.0,1.0
hallucination,255.0,0.4627450980392157,0.4995906924333495,0.0,0.0,0.0,1.0,1.0
rouge1,255.0,0.3103230496869084,0.10560529158902822,0.00797872340425532,0.24242424242424243,0.3058823529411765,0.3737068965517241,0.7407407407407408
rouge2,255.0,0.11187267215323644,0.09521689393581476,0.0,0.0392156862745098,0.09523809523809523,0.1651554889471712,0.64
rougeL,255.0,0.2425728671405332,0.10232565601627824,0.005319148936170213,0.16666666666666666,0.23655913978494625,0.3024585477415666,0.7407407407407408
