,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness,contextual_relevancy,contextual_relevancy,contextual_relevancy,contextual_relevancy,contextual_relevancy,hallucination,hallucination,hallucination,hallucination,hallucination,factual_correctness,factual_correctness,factual_correctness,factual_correctness,factual_correctness,bleu1,bleu1,bleu1,bleu1,bleu1,bleu2,bleu2,bleu2,bleu2,bleu2,bleu3,bleu3,bleu3,bleu3,bleu3,bleu4,bleu4,bleu4,bleu4,bleu4,rouge1,rouge1,rouge1,rouge1,rouge1,rouge2,rouge2,rouge2,rouge2,rouge2,rougeL,rougeL,rougeL,rougeL,rougeL,bert_precision,bert_precision,bert_precision,bert_precision,bert_precision,bert_recall,bert_recall,bert_recall,bert_recall,bert_recall,bert_f1,bert_f1,bert_f1,bert_f1,bert_f1
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
source_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001586-005-006.txt,5,1.0,0.0,1.0,1.0,5,1.0,0.0,1.0,1.0,5,0.5384615384615385,0.1589137897140612,0.35714285714285715,0.7142857142857143,5,0.2,0.4472135954999579,0.0,1.0,5,0.7916371997140723,0.08679329524843733,0.64190619066953,0.8622459331201853,5,0.18632981605107557,0.1310876904575806,0.06845561587101227,0.3909121512006618,5,0.10301979902638117,0.11355674031036925,2.7964813634246583e-155,0.266740895186418,5,0.07289851624323909,0.08019318693552106,2.3493485478522653e-204,0.19253394743143049,5,0.03776997591499833,0.05948424908117324,5.65214576015456e-232,0.13598345546333285,5,0.2599531694171646,0.10287048032389272,0.13333333333333333,0.41666666666666663,5,0.09813211620496745,0.08777219537745064,0.0,0.21739130434782608,5,0.1931891200901679,0.10838156858391501,0.08888888888888888,0.37499999999999994,5,0.8642529845237732,0.03111192015848553,0.8285318613052368,0.9006353616714478,5,0.8408879399299621,0.03777267100704516,0.7901129722595215,0.8932864665985107,5,0.8523117303848267,0.033166772310711405,0.8088664412498474,0.8969458341598511
1001586-009-016.txt,5,1.0,0.0,1.0,1.0,5,0.9,0.22360679774997896,0.5,1.0,5,0.7217893217893219,0.30789302548845676,0.2857142857142857,1.0,5,0.6,0.5477225575051661,0.0,1.0,5,0.7047676511536668,0.27681169434866576,0.21687949592332645,0.8939913347090916,5,0.2929173551265646,0.06394069642631198,0.19590845846915764,0.3657412170106248,5,0.20026307904574078,0.028480939712273806,0.15215096491204308,0.22679379486570125,5,0.15828045701502166,0.025029431982972,0.13135425742870585,0.18676571097663305,5,0.10841606295892606,0.06318311088146665,2.671618928705123e-78,0.1531305080006172,5,0.393691030748971,0.0665879536808001,0.3333333333333333,0.49056603773584906,5,0.18349047051840736,0.04994247744312156,0.1176470588235294,0.23157894736842105,5,0.3386393502091592,0.0685256115560488,0.22988505747126436,0.4150943396226415,5,0.8756739258766174,0.019277567857256782,0.849470853805542,0.9004461765289307,5,0.8612073183059692,0.013224398977617595,0.8445665240287781,0.8728477358818054,5,0.8683276295661926,0.014587536255546088,0.8470115661621094,0.8830541968345642
1001586-017-038.txt,5,1.0,0.0,1.0,1.0,5,0.95,0.1118033988749895,0.75,1.0,5,0.8719713261648746,0.16358353830204683,0.6,1.0,5,0.4,0.5477225575051661,0.0,1.0,5,0.7419140922279637,0.05253943504122621,0.6911382500635278,0.8237972963051728,5,0.20566112109979598,0.0697987349655954,0.15456874105995394,0.31428392877316885,5,0.07526161253874174,0.05435285658473981,4.706393813708923e-155,0.15311874219796562,5,0.02118278944442916,0.029134167950954033,3.5778939390725706e-204,0.05682153722970705,5,0.007878917280574247,0.0176177946284618,8.212427752489502e-232,0.03939458640287124,5,0.3580619494174481,0.08147638107630065,0.2647058823529412,0.488888888888889,5,0.10145635459068295,0.023925166006513027,0.060606060606060615,0.11940298507462686,5,0.25043478260869567,0.08467544893676449,0.11764705882352941,0.31884057971014496,5,0.8730048179626465,0.017837105208098794,0.8579829931259155,0.9035810232162476,5,0.8458057403564453,0.013467633586305141,0.8255658149719238,0.8575776815414429,5,0.859123170375824,0.013118977813436124,0.8414623141288757,0.8756474852561951
1001586-039-074.txt,5,0.9333333333333332,0.14907119849998599,0.6666666666666666,1.0,5,0.7333333333333333,0.25276251480171835,0.5,1.0,5,0.8484615384615385,0.12485494542247694,0.6923076923076923,1.0,5,0.4,0.5477225575051662,0.0,1.0,5,0.5826329341676372,0.20811708575912957,0.31276690826905135,0.8562176500885798,5,0.2608690151677069,0.09181052967851644,0.16921714751311226,0.3691410772436261,5,0.15456056914390032,0.13747717500079232,7.458340731200295e-155,0.3032338513442807,5,0.12824296080773903,0.1428225440834136,5.6307666226860216e-204,0.2897919834928427,5,0.11794397248504233,0.13557157380404722,1.2882297539194154e-231,0.2776941085341313,5,0.34450361615139363,0.09192833627953442,0.2456140350877193,0.47222222222222215,5,0.17681391033032987,0.1417852244669958,0.03773584905660377,0.37142857142857144,5,0.3005195461476439,0.10613041901991319,0.21052631578947367,0.4444444444444444,5,0.8822835922241211,0.018227550362024603,0.8657217025756836,0.9095069169998169,5,0.854516327381134,0.0204629327650717,0.8199305534362793,0.8727800846099854,5,0.8681032061576843,0.017285512946160434,0.8439559936523438,0.8872026801109314
1001586-075-102.txt,5,0.96,0.08944271909999157,0.8,1.0,5,1.0,0.0,1.0,1.0,5,0.9038095238095238,0.10499973005040343,0.7857142857142857,1.0,5,0.2,0.447213595499958,0.0,1.0,5,0.6276674962574715,0.1992236443294546,0.31687949454309566,0.832082129433083,5,0.14538997557574987,0.09701568563778118,0.07217881772619344,0.2987012987012987,5,0.09103000899383154,0.0709685096766784,0.031535796986371045,0.19824934416208592,5,0.061679982829040816,0.05566984425904509,1.7810930695389005e-103,0.13063794537045678,5,0.04163529642064844,0.04547780141916256,1.2028460784017675e-155,0.09266498201677734,5,0.3162234294007879,0.04191005383218913,0.2666666666666667,0.3619047619047619,5,0.15423332631175812,0.06457038170942421,0.0821917808219178,0.2330097087378641,5,0.2632800055290621,0.03577904422196131,0.21333333333333335,0.30476190476190473,5,0.8808226227760315,0.01183886664714087,0.86827552318573,0.8992670774459839,5,0.8305079102516174,0.02429189429147217,0.8053107261657715,0.8632883429527283,5,0.8546867370605469,0.011237592580775101,0.8385697603225708,0.8657748103141785
1001586-103-122.txt,5,1.0,0.0,1.0,1.0,5,0.8666666666666666,0.29814239699997197,0.3333333333333333,1.0,5,0.8864661654135337,0.16387700576081224,0.6428571428571429,1.0,5,0.2,0.4472135954999579,0.0,1.0,5,0.8117993918900621,0.08868164563352496,0.7178160596562859,0.9,5,0.12844150488116032,0.05898421056917623,0.027891270018553734,0.18001445702143146,5,0.04395843492600619,0.0408351196685305,1.1767535017849615e-155,0.08157119024172853,5,0.010562426160903618,0.02361830290310262,9.995071522260507e-205,0.05281213080451809,5,0.0072388794866471455,0.016186626613071797,2.417097137022882e-232,0.03619439743323573,5,0.25484843337900814,0.087300657599818,0.125,0.35051546391752575,5,0.05321637426900584,0.054711970157668106,0.0,0.1263157894736842,5,0.16581931281655898,0.08369373867918212,0.0625,0.2680412371134021,5,0.8663980960845947,0.014125173667173689,0.8531889319419861,0.8886830806732178,5,0.8350569844245911,0.013300708180486596,0.8203365802764893,0.8551634550094604,5,0.8503947734832764,0.011900731716610692,0.8438137173652649,0.8716011047363281
1001586-123-126.txt,5,1.0,0.0,1.0,1.0,5,0.6,0.5477225575051661,0.0,1.0,5,0.8252214452214452,0.16318851045700267,0.6363636363636364,1.0,5,0.8,0.4472135954999579,0.0,1.0,5,0.7458424043902954,0.09262347003059039,0.6191549803345038,0.8731058584489496,5,0.14032458166863312,0.10171110522680837,0.011047920717361335,0.27586206896551724,5,0.013005121775247106,0.02908033634511527,3.591695987506202e-156,0.06502560887623553,5,9.82402321686213e-104,2.196718372543988e-103,2.791981859253641e-205,4.912011608431065e-103,5,7.607543163046442e-156,1.7010983654335567e-155,6.476033397044345e-233,3.803771581523221e-155,5,0.25232391821260003,0.10145309333205661,0.14285714285714285,0.38709677419354843,5,0.018967136150234744,0.02932224637638585,0.0,0.06666666666666667,5,0.14108806941862606,0.06593784031189405,0.08163265306122448,0.2465753424657534,5,0.8492990493774414,0.013149403069907634,0.8344979882240295,0.86158287525177,5,0.8463932991027832,0.044933708472041846,0.7674044966697693,0.8804627060890198,5,0.8472309947013855,0.022621423834622664,0.8101342916488647,0.8685516119003296
1001586-127-131.txt,5,1.0,0.0,1.0,1.0,5,0.7933333333333333,0.21653842358548953,0.5,1.0,5,0.8150000000000001,0.27816362091402247,0.375,1.0,5,0.6,0.5477225575051661,0.0,1.0,5,0.7267769796715358,0.185575356802199,0.41198913532736653,0.8904650529316844,5,0.2952340374179713,0.11928469606352529,0.19335422774415015,0.4762248034116116,5,0.17848314318241085,0.1212212780290299,0.05589820590879482,0.32899956241588024,5,0.12332776720032931,0.11732683719922686,4.4453530258708396e-103,0.25278271160223187,5,0.07551455438410044,0.10450508216249965,3.526721376932294e-155,0.21019770729317844,5,0.40092339801838656,0.1377082637748081,0.25233644859813087,0.6153846153846153,5,0.16832357110723828,0.14528816677406983,0.02830188679245283,0.35999999999999993,5,0.3409480362168723,0.18259087683388622,0.14018691588785048,0.6153846153846153,5,0.8820979833602905,0.03638294423831097,0.8293827176094055,0.9265826940536499,5,0.8637777805328369,0.040473869912243624,0.8395487070083618,0.9358190298080444,5,0.8726702570915222,0.036006872398268566,0.8344346880912781,0.9311779737472534
