,count,mean,std,min,25%,50%,75%,max
answer_relevancy,1516.0,0.9599005485122276,0.13198022287918243,0.0,1.0,1.0,1.0,1.0
bert_f1,1516.0,0.8526634682844685,0.033339790750548624,0.5945713520050049,0.8365513831377029,0.854171872138977,0.8716988414525986,0.9980080127716064
bert_precision,1516.0,0.8691410439231465,0.03333707253480312,0.6582576036453247,0.85146164894104,0.8709159791469574,0.8888177275657654,0.9980080127716064
bert_recall,1516.0,0.8374953410320357,0.04020109106163789,0.498951256275177,0.8187162727117538,0.841333270072937,0.8610852360725403,0.9980080127716064
bleu1,1516.0,0.18972687912527908,0.11695677203663361,0.0,0.10175720946731455,0.18470846477056732,0.2631578947368421,0.9565217391304348
bleu2,1516.0,0.09809410157371268,0.09825046608803181,0.0,5.960811306625868e-155,0.08521983361959468,0.15033964996307705,0.9325048082403138
bleu3,1516.0,0.05799244241126577,0.08630037922316222,0.0,4.762634211358898e-204,7.257520009854078e-103,0.09803860657323121,0.9075640241294178
bleu4,1516.0,0.03394899535056594,0.07374108922702684,0.0,1.1281457926255324e-231,4.929650119813933e-155,0.04408623183981955,0.8787419089273848
contextual_relevancy,1516.0,0.7582158844012953,0.2604146208355063,0.07692307692307693,0.5833333333333334,0.8461538461538461,1.0,1.0
factual_correctness,1516.0,0.61329079121068,0.222643083973697,0.06791786926816161,0.4247543468166009,0.6750165752487651,0.7963790051933098,1.0
faithfulness,1516.0,0.8686643224155375,0.28250294708854495,0.0,1.0,1.0,1.0,1.0
hallucination,1516.0,0.4716358839050132,0.4993595522080882,0.0,0.0,0.0,1.0,1.0
rouge1,1516.0,0.29396511956859656,0.1222624834438434,0.0,0.21212121212121213,0.29061583577712613,0.3717843177608562,0.9795918367346939
rouge2,1516.0,0.10525455037561021,0.10268691378744632,0.0,0.03225806451612904,0.08450704225352113,0.15063907486305536,0.9361702127659574
rougeL,1516.0,0.22719198065885376,0.10927440223392208,0.0,0.15774689532820815,0.21359223300970875,0.28125,0.9795918367346939
