,mean,std,variance,count,min,max
answer_relevancy,0.956,0.1385,0.0192,1516,0.0,1.0
faithfulness,0.8664,0.2851,0.0813,1516,0.0,1.0
contextual_relevancy,0.7454,0.265,0.0702,1516,0.05,1.0
hallucination,0.4677,0.499,0.249,1516,0.0,1.0
factual_correctness,0.6206,0.2205,0.0486,1516,0.0217,1.0
bleu1,0.1978,0.1141,0.013,1516,0.0,0.9231
bleu2,0.1017,0.0927,0.0086,1516,0.0,0.8771
bleu3,0.0577,0.0796,0.0063,1516,0.0,0.8256
bleu4,0.0319,0.0657,0.0043,1516,0.0,0.7612
rouge1,0.2978,0.1138,0.0129,1516,0.0,0.9032
rouge2,0.1041,0.0894,0.008,1516,0.0,0.8276
rougeL,0.2291,0.0966,0.0093,1516,0.0,0.9032
bert_precision,0.8692,0.031,0.001,1516,0.6257,0.9864
bert_recall,0.8381,0.0377,0.0014,1516,0.4955,0.9876
bert_f1,0.853,0.0311,0.001,1516,0.553,0.9865
