,mean,std,variance,count,min,max
answer_relevancy,0.9624,0.1149,0.0132,255,0.4,1.0
faithfulness,0.8899,0.2411,0.0581,255,0.0,1.0
contextual_relevancy,0.8047,0.2128,0.0453,255,0.2,1.0
hallucination,0.4588,0.4983,0.2483,255,0.0,1.0
factual_correctness,0.7388,0.215,0.0462,255,0.1039,1.0
bleu1,0.2193,0.0979,0.0096,255,0.0,0.4612
bleu2,0.1116,0.0848,0.0072,255,0.0,0.4073
bleu3,0.0656,0.0764,0.0058,255,0.0,0.3773
bleu4,0.0382,0.0644,0.0041,255,0.0,0.3519
rouge1,0.2998,0.108,0.0117,255,0.0,0.6176
rouge2,0.1037,0.0863,0.0075,255,0.0,0.5152
rougeL,0.2305,0.0937,0.0088,255,0.0,0.5588
bert_precision,0.8611,0.0306,0.0009,255,0.6905,0.9457
bert_recall,0.8448,0.0316,0.001,255,0.6174,0.9315
bert_f1,0.8526,0.0278,0.0008,255,0.7234,0.9271
