,mean,std,variance,count,min,max
answer_relevancy,0.9526,0.1481,0.0219,255,0.0,1.0
faithfulness,0.8891,0.2676,0.0716,255,0.0,1.0
contextual_relevancy,0.8131,0.1937,0.0375,255,0.2222,1.0
hallucination,0.4824,0.4997,0.2497,255,0.0,1.0
factual_correctness,0.7005,0.2064,0.0426,255,0.0971,1.0
bleu1,0.2173,0.1262,0.0159,255,0.0,1.0
bleu2,0.1226,0.1162,0.0135,255,0.0,1.0
bleu3,0.0787,0.11,0.0121,255,0.0,1.0
bleu4,0.0511,0.1011,0.0102,255,0.0,1.0
rouge1,0.3118,0.131,0.0172,255,0.0,1.0
rouge2,0.1238,0.1211,0.0147,255,0.0,1.0
rougeL,0.2494,0.1247,0.0155,255,0.0,1.0
bert_precision,0.8705,0.0299,0.0009,255,0.7837,1.0
bert_recall,0.846,0.036,0.0013,255,0.6174,1.0
bert_f1,0.8577,0.0294,0.0009,255,0.7234,1.0
