,mean,std,variance,count,min,max
answer_relevancy,0.9579,0.1286,0.0165,255,0.0,1.0
faithfulness,0.878,0.255,0.065,255,0.0,1.0
contextual_relevancy,0.8179,0.2006,0.0403,255,0.1667,1.0
hallucination,0.4627,0.4986,0.2486,255,0.0,1.0
factual_correctness,0.7034,0.2121,0.045,255,0.0864,1.0
bleu1,0.2217,0.0974,0.0095,255,0.0,0.6071
bleu2,0.117,0.0897,0.0081,255,0.0,0.5611
bleu3,0.0713,0.0835,0.007,255,0.0,0.5291
bleu4,0.0433,0.0728,0.0053,255,0.0,0.5028
rouge1,0.3068,0.1015,0.0103,255,0.0286,0.7241
rouge2,0.1134,0.0897,0.008,255,0.0,0.6071
rougeL,0.2387,0.0961,0.0092,255,0.0176,0.7241
bert_precision,0.8654,0.0285,0.0008,255,0.7649,0.9459
bert_recall,0.8471,0.0304,0.0009,255,0.6174,0.9521
bert_f1,0.8558,0.0251,0.0006,255,0.7234,0.949
