,mean,std,variance,count,min,max
answer_relevancy,0.9675,0.114,0.013,255,0.0,1.0
faithfulness,0.8822,0.2741,0.0751,255,0.0,1.0
contextual_relevancy,0.7925,0.2034,0.0414,255,0.1538,1.0
hallucination,0.4784,0.4995,0.2495,255,0.0,1.0
factual_correctness,0.7119,0.2035,0.0414,255,0.0919,1.0
bleu1,0.2165,0.1075,0.0116,255,0.0,0.6296
bleu2,0.1124,0.0931,0.0087,255,0.0,0.5823
bleu3,0.068,0.082,0.0067,255,0.0,0.5493
bleu4,0.0401,0.0701,0.0049,255,0.0,0.5226
rouge1,0.3071,0.1076,0.0116,255,0.0083,0.7018
rouge2,0.1088,0.0915,0.0084,255,0.0,0.6182
rougeL,0.2386,0.0988,0.0098,255,0.0083,0.7018
bert_precision,0.8669,0.0299,0.0009,255,0.6673,0.9411
bert_recall,0.8449,0.033,0.0011,255,0.6174,0.9486
bert_f1,0.8554,0.0279,0.0008,255,0.7101,0.9434
