,mean,std,variance,count,min,max
answer_relevancy,0.9356,0.1579,0.0249,255,0.0,1.0
faithfulness,0.8584,0.2738,0.075,255,0.0,1.0
contextual_relevancy,0.8214,0.1934,0.0374,255,0.2222,1.0
hallucination,0.4706,0.4991,0.2491,255,0.0,1.0
factual_correctness,0.7,0.2081,0.0433,255,0.0047,1.0
bleu1,0.2246,0.1078,0.0116,255,0.0,0.7054
bleu2,0.1154,0.0957,0.0092,255,0.0,0.6492
bleu3,0.0688,0.0876,0.0077,255,0.0,0.6279
bleu4,0.042,0.0767,0.0059,255,0.0,0.61
rouge1,0.305,0.1134,0.0129,255,0.0,0.8
rouge2,0.1067,0.0937,0.0088,255,0.0,0.6512
rougeL,0.238,0.1041,0.0108,255,0.0,0.7556
bert_precision,0.8608,0.0379,0.0014,255,0.6373,0.958
bert_recall,0.8445,0.0367,0.0013,255,0.5904,0.9472
bert_f1,0.8522,0.0338,0.0011,255,0.616,0.9509
