,mean,std,variance,count,min,max
answer_relevancy,0.9599,0.1319,0.0174,1516,0.0,1.0
faithfulness,0.8687,0.2824,0.0798,1516,0.0,1.0
contextual_relevancy,0.7582,0.2603,0.0678,1516,0.0769,1.0
hallucination,0.4716,0.4992,0.2492,1516,0.0,1.0
factual_correctness,0.6133,0.2226,0.0495,1516,0.0679,1.0
bleu1,0.1897,0.1169,0.0137,1516,0.0,0.9565
bleu2,0.0981,0.0982,0.0096,1516,0.0,0.9325
bleu3,0.058,0.0863,0.0074,1516,0.0,0.9076
bleu4,0.0339,0.0737,0.0054,1516,0.0,0.8787
rouge1,0.294,0.1222,0.0149,1516,0.0,0.9796
rouge2,0.1053,0.1027,0.0105,1516,0.0,0.9362
rougeL,0.2272,0.1092,0.0119,1516,0.0,0.9796
bert_precision,0.8691,0.0333,0.0011,1516,0.6583,0.998
bert_recall,0.8375,0.0402,0.0016,1516,0.499,0.998
bert_f1,0.8527,0.0333,0.0011,1516,0.5946,0.998
