,mean,std,variance,count,min,max
answer_relevancy,0.9476,0.152,0.0231,255,0.0,1.0
faithfulness,0.8756,0.2516,0.0633,255,0.0,1.0
contextual_relevancy,0.7828,0.2083,0.0434,255,0.2,1.0
hallucination,0.4314,0.4953,0.2453,255,0.0,1.0
factual_correctness,0.6876,0.2101,0.0442,255,0.0679,1.0
bleu1,0.2179,0.1146,0.0131,255,0.0,0.8144
bleu2,0.117,0.0996,0.0099,255,0.0,0.6398
bleu3,0.0725,0.0891,0.0079,255,0.0,0.5727
bleu4,0.0437,0.0763,0.0058,255,0.0,0.5177
rouge1,0.3123,0.1204,0.0145,255,0.0308,0.963
rouge2,0.1178,0.103,0.0106,255,0.0,0.72
rougeL,0.2445,0.1122,0.0126,255,0.0308,0.8889
bert_precision,0.8691,0.0292,0.0009,255,0.7555,0.993
bert_recall,0.8457,0.0345,0.0012,255,0.6174,0.9802
bert_f1,0.8569,0.0284,0.0008,255,0.7234,0.9866
