,mean,std,variance,count,min,max
answer_relevancy,0.9766,0.0895,0.008,255,0.3333,1.0
faithfulness,0.8591,0.2807,0.0788,255,0.0,1.0
contextual_relevancy,0.8181,0.1963,0.0385,255,0.1818,1.0
hallucination,0.498,0.5,0.25,255,0.0,1.0
factual_correctness,0.7471,0.205,0.042,255,0.0,1.0
bleu1,0.2137,0.1067,0.0114,255,0.0,0.6429
bleu2,0.1136,0.0956,0.0091,255,0.0,0.5774
bleu3,0.0688,0.0879,0.0077,255,0.0,0.5392
bleu4,0.0427,0.0758,0.0057,255,0.0,0.5101
rouge1,0.3072,0.1094,0.012,255,0.0,0.7368
rouge2,0.1165,0.096,0.0092,255,0.0,0.6182
rougeL,0.2415,0.1044,0.0109,255,0.0,0.7018
bert_precision,0.8669,0.0277,0.0008,255,0.7357,0.9542
bert_recall,0.8444,0.0325,0.0011,255,0.6174,0.9423
bert_f1,0.8552,0.0265,0.0007,255,0.7234,0.9397
