,mean,std,variance,count,min,max
answer_relevancy,0.9648,0.1234,0.0152,255,0.0,1.0
faithfulness,0.8778,0.2593,0.0672,255,0.0,1.0
contextual_relevancy,0.8159,0.1963,0.0385,255,0.1429,1.0
hallucination,0.4863,0.4998,0.2498,255,0.0,1.0
factual_correctness,0.6646,0.2246,0.0504,255,0.1024,1.0
bleu1,0.2228,0.1078,0.0116,255,0.0,0.7407
bleu2,0.1185,0.0959,0.0092,255,0.0,0.6752
bleu3,0.0716,0.0872,0.0076,255,0.0,0.6219
bleu4,0.0427,0.0745,0.0056,255,0.0,0.5741
rouge1,0.3046,0.1066,0.0114,255,0.0,0.7719
rouge2,0.1102,0.0885,0.0078,255,0.0,0.6545
rougeL,0.2384,0.0998,0.01,255,0.0,0.7719
bert_precision,0.8638,0.0311,0.001,255,0.6638,0.9649
bert_recall,0.8448,0.0311,0.001,255,0.6174,0.9489
bert_f1,0.8539,0.0272,0.0007,255,0.7092,0.9406
