,mean,std,variance,count,min,max
answer_relevancy,0.9633,0.1143,0.0131,255,0.3333,1.0
faithfulness,0.85,0.2832,0.0802,255,0.0,1.0
contextual_relevancy,0.8158,0.1896,0.0359,255,0.2222,1.0
hallucination,0.498,0.5,0.25,255,0.0,1.0
factual_correctness,0.6815,0.1966,0.0387,255,0.0698,1.0
bleu1,0.2251,0.1035,0.0107,255,0.0,0.6
bleu2,0.1156,0.0924,0.0085,255,0.0,0.5382
bleu3,0.0689,0.0849,0.0072,255,0.0,0.5023
bleu4,0.0408,0.073,0.0053,255,0.0,0.4742
rouge1,0.3066,0.1047,0.011,255,0.0,0.7586
rouge2,0.1065,0.0885,0.0078,255,0.0,0.6071
rougeL,0.2371,0.0984,0.0097,255,0.0,0.7586
bert_precision,0.8637,0.0264,0.0007,255,0.7708,0.9347
bert_recall,0.844,0.0305,0.0009,255,0.6174,0.9476
bert_f1,0.8535,0.0245,0.0006,255,0.7234,0.9328
