,mean,std,variance,count,min,max
answer_relevancy,0.9598,0.127,0.0161,255,0.0909,1.0
faithfulness,0.8869,0.258,0.0666,255,0.0,1.0
contextual_relevancy,0.8091,0.2027,0.0411,255,0.2,1.0
hallucination,0.451,0.4976,0.2476,255,0.0,1.0
factual_correctness,0.6663,0.2297,0.0528,255,0.0119,1.0
bleu1,0.2197,0.1056,0.0111,255,0.0,0.5714
bleu2,0.1117,0.0926,0.0086,255,0.0,0.5021
bleu3,0.0632,0.0837,0.007,255,0.0,0.4667
bleu4,0.0367,0.071,0.005,255,0.0,0.4298
rouge1,0.3015,0.1068,0.0114,255,0.0068,0.6667
rouge2,0.1056,0.0878,0.0077,255,0.0,0.5312
rougeL,0.2333,0.0967,0.0093,255,0.0066,0.6667
bert_precision,0.8649,0.0347,0.0012,255,0.6156,0.9547
bert_recall,0.8442,0.0318,0.001,255,0.6174,0.9483
bert_f1,0.8541,0.0297,0.0009,255,0.6588,0.9407
