,count,mean,std,min,25%,50%,75%,max
answer_relevancy,255.0,0.9507563025210083,0.12580656191707743,0.25,1.0,1.0,1.0,1.0
bert_f1,255.0,0.8545397847306495,0.026912398086959114,0.7198412418365479,0.8419723212718964,0.8557549118995667,0.8709189593791962,0.9447910785675049
bert_precision,255.0,0.8657772837900648,0.030251134387525854,0.6588796973228455,0.8498753905296326,0.868081271648407,0.8842923641204834,0.9375330209732056
bert_recall,255.0,0.8442627813301834,0.03212565917754727,0.6173889636993408,0.8284249603748322,0.8483242988586426,0.863065242767334,0.9521623849868774
bleu1,255.0,0.2117551172926315,0.11149543854145985,0.0,0.13001349644566715,0.21091696961721948,0.2811873411239244,0.7037037037037037
bleu2,255.0,0.11028004286078624,0.09723814615470623,0.0,0.03140749272515488,0.09999999999999998,0.15678690441122262,0.6371678789635475
bleu3,255.0,0.06693086856880982,0.08761536943778986,0.0,2.4242867625771593e-103,0.038662702343419425,0.11196075994987847,0.5985337718539728
bleu4,255.0,0.0422239025409131,0.07567047259455652,0.0,1.7622874412736776e-155,8.236065363210291e-79,0.07679724332190366,0.5577288803545524
contextual_relevancy,255.0,0.7820130447030347,0.20374572227246143,0.15384615384615385,0.6666666666666666,0.8260869565217391,0.9875,1.0
factual_correctness,255.0,0.7211483973324906,0.20223761192290068,0.1,0.6747505608122661,0.7858576377430972,0.8650819012196675,1.0
faithfulness,255.0,0.8829084967320261,0.25042414657234824,0.0,1.0,1.0,1.0,1.0
hallucination,255.0,0.43529411764705883,0.49677048733921986,0.0,0.0,0.0,1.0,1.0
rouge1,255.0,0.3018405750354835,0.10960786569971949,0.0198019801980198,0.24137931034482757,0.3013698630136986,0.36996779388083734,0.7857142857142856
rouge2,255.0,0.1075296359602586,0.09233601566288871,0.0,0.037037037037037035,0.0909090909090909,0.14907407407407408,0.6296296296296295
rougeL,255.0,0.23539754964283174,0.10047514639494572,0.014127144298688193,0.16666666666666666,0.2278481012658228,0.2806827836564455,0.7857142857142856
